date,teamname,game,side,teamkills,teamdeaths,dragons,barons,towers,totalgold,result,split
2022-03-19 17:58:57,Flamengo Esports,1,Blue,4,15,0.0,0.0,3.0,42060,0,Split 1
2022-03-19 17:58:57,Liberty,1,Red,15,4,3.0,1.0,8.0,53688,1,Split 1
2022-03-19 18:58:50,INTZ,1,Blue,15,14,2.0,1.0,4.0,66920,0,Split 1
2022-03-19 18:58:50,RED Canids,1,Red,14,15,3.0,1.0,9.0,70163,1,Split 1
2022-03-19 20:02:12,LOUD,1,Blue,6,21,0.0,0.0,3.0,51736,0,Split 1
2022-03-19 20:02:12,Netshoes Miners,1,Red,21,6,5.0,1.0,9.0,61992,1,Split 1
2022-03-20 15:45:58,Liberty,1,Blue,17,7,1.0,0.0,10.0,49444,1,Split 1
2022-03-20 15:45:58,INTZ,1,Red,7,17,1.0,0.0,2.0,39699,0,Split 1
2022-03-20 16:48:42,Rensga eSports,1,Blue,24,31,3.0,0.0,5.0,71997,0,Split 1
2022-03-20 16:48:42,LOUD,1,Red,30,24,3.0,3.0,10.0,78395,1,Split 1
2022-03-20 17:58:10,Netshoes Miners,1,Blue,20,31,1.0,1.0,4.0,57639,0,Split 1
2022-03-20 17:58:10,FURIA,1,Red,31,20,3.0,1.0,9.0,67133,1,Split 1
2022-03-20 18:58:49,KaBuM! e-Sports,1,Blue,20,12,4.0,1.0,11.0,64252,1,Split 1
2022-03-20 18:58:49,Flamengo Esports,1,Red,12,20,1.0,0.0,2.0,52976,0,Split 1
2022-03-20 19:55:55,RED Canids,1,Blue,8,21,2.0,0.0,2.0,47775,0,Split 1
2022-03-20 19:55:55,paiN Gaming,1,Red,21,8,3.0,1.0,9.0,61450,1,Split 1
2022-03-25 15:45:08,Netshoes Miners,1,Blue,8,19,2.0,0.0,3.0,56638,0,Split 1
2022-03-25 15:45:08,Liberty,1,Red,19,8,3.0,2.0,11.0,66570,1,Split 1
2022-03-25 17:00:57,Liberty,2,Blue,20,13,4.0,2.0,9.0,79596,1,Split 1
2022-03-25 17:00:57,Netshoes Miners,2,Red,13,20,2.0,1.0,7.0,77359,0,Split 1
2022-03-25 18:09:35,Liberty,3,Blue,18,6,3.0,1.0,11.0,65679,1,Split 1
