date,playername,teamname,position,kills,deaths,assists,totalgold,total cs,split,KDA
2022-01-30 15:45:05,Scuro,KaBuM! e-Sports,sup,1,6,6,6689,35.0,Split 1,1.17
2022-01-30 15:45:05,,RED Canids,team,21,11,52,56599,,Split 1,6.64
2022-01-30 15:45:05,,KaBuM! e-Sports,team,11,21,25,45937,,Split 1,1.71
2022-01-30 16:52:58,Kiari,Liberty,top,11,2,7,17160,271.0,Split 1,9.0
2022-01-30 16:52:58,Disamis,Liberty,jng,5,2,17,13701,189.0,Split 1,11.0
2022-01-30 16:52:58,Krastyel,Liberty,mid,2,3,14,13901,298.0,Split 1,5.33
2022-01-30 16:52:58,Matsukaze,Liberty,bot,8,1,9,17147,330.0,Split 1,17.0
2022-01-30 16:52:58,Wos,Liberty,sup,0,2,15,8225,34.0,Split 1,7.5
2022-01-30 16:52:58,Robo,LOUD,top,2,7,4,12951,287.0,Split 1,0.86
2022-01-30 16:52:58,Tay,LOUD,jng,2,8,2,9931,173.0,Split 1,0.5
2022-01-30 16:52:58,tinowns,LOUD,mid,1,3,6,11789,280.0,Split 1,2.33
2022-01-30 16:52:58,DudsTheBoy,LOUD,bot,5,6,3,14705,338.0,Split 1,1.33
2022-01-30 16:52:58,Ceos,LOUD,sup,0,2,7,7259,23.0,Split 1,3.5
2022-01-30 16:52:58,,Liberty,team,26,10,62,70134,,Split 1,8.8
2022-01-30 16:52:58,,LOUD,team,10,26,22,56635,,Split 1,1.23
2022-01-30 17:58:17,Ayel,Rensga eSports,top,1,3,6,11132,245.0,Split 1,2.33
2022-01-30 17:58:17,Minerva,Rensga eSports,jng,4,1,10,12796,204.0,Split 1,14.0
2022-01-30 17:58:17,Goku,Rensga eSports,mid,10,2,8,17136,340.0,Split 1,9.0
2022-01-30 17:58:17,Hades,Rensga eSports,bot,2,0,13,13944,291.0,Split 1,inf
2022-01-30 17:58:17,Guard,Rensga eSports,sup,1,3,14,8068,39.0,Split 1,5.0
2022-01-30 17:58:17,DoRun,Netshoes Miners,top,2,3,3,15573,299.0,Split 1,1.67
2022-01-30 17:58:17,Croc,Netshoes Miners,jng,4,2,3,13695,235.0,Split 1,3.5
2022-01-30 17:58:17,Anyyy,Netshoes Miners,mid,0,4,7,13270,325.0,Split 1,1.75
2022-01-30 17:58:17,Drop,Netshoes Miners,bot,2,2,3,11677,251.0,Split 1,2.5
2022-01-30 17:58:17,Hawk,Netshoes Miners,sup,1,7,3,7826,43.0,Split 1,0.57
2022-01-30 17:58:17,,Rensga eSports,team,18,9,51,63076,,Split 1,7.67
2022-01-30 17:58:17,,Netshoes Miners,team,9,18,19,62041,,Split 1,1.56
2022-01-30 19:01:49,Wizer,paiN Gaming,top,1,2,4,12676,280.0,Split 1,2.5
2022-01-30 19:01:49,CarioK,paiN Gaming,jng,2,6,2,9712,150.0,Split 1,0.67
2022-01-30 19:01:49,dyNquedo,paiN Gaming,mid,3,2,3,10951,239.0,Split 1,3.0
2022-01-30 19:01:49,Trigo,paiN Gaming,bot,2,2,4,11564,267.0,Split 1,3.0
2022-01-30 19:01:49,Damage,paiN Gaming,sup,1,3,5,7044,37.0,Split 1,2.0
2022-01-30 19:01:49,fNb,FURIA,top,2,2,3,12046,242.0,Split 1,2.5
2022-01-30 19:01:49,Ranger,FURIA,jng,2,3,8,10697,190.0,Split 1,3.33
2022-01-30 19:01:49,Envy,FURIA,mid,5,2,7,13090,267.0,Split 1,6.0
2022-01-30 19:01:49,Netuno,FURIA,bot,6,0,4,15051,299.0,Split 1,inf
2022-01-30 19:01:49,RedBert,FURIA,sup,0,2,10,8162,43.0,Split 1,5.0
2022-01-30 19:01:49,,paiN Gaming,team,9,15,18,51947,,Split 1,1.8
2022-01-30 19:01:49,,FURIA,team,15,9,32,59046,,Split 1,5.22
