date,teamname,split,result,totalgold,teamkills,teamdeaths,towers,dragons,barons
2018-01-28 18:01:01,paiN Gaming,Split 1,1,10245,11,1,,,
2018-01-28 18:01:01,KaBuM! e-Sports,Split 1,0,12734,1,11,,,
2018-01-28 18:01:01,KaBuM! e-Sports,Split 1,0,11093,1,11,,,
2018-01-28 18:01:01,KaBuM! e-Sports,Split 1,0,12025,1,11,,,
2018-01-28 18:01:01,KaBuM! e-Sports,Split 1,0,13632,1,11,,,
2018-01-28 18:01:01,KaBuM! e-Sports,Split 1,0,9295,1,11,,,
2018-01-28 18:01:01,paiN Gaming,Split 1,1,65077,11,1,7.0,2.0,1.0
2018-01-28 18:01:01,KaBuM! e-Sports,Split 1,0,58779,1,11,4.0,1.0,1.0
2018-01-28 18:58:40,KaBuM! e-Sports,Split 1,1,16393,7,1,,,
2018-01-28 18:58:40,KaBuM! e-Sports,Split 1,1,11715,7,1,,,
2018-01-28 18:58:40,KaBuM! e-Sports,Split 1,1,13523,7,1,,,
2018-01-28 18:58:40,KaBuM! e-Sports,Split 1,1,13477,7,1,,,
2018-01-28 18:58:40,KaBuM! e-Sports,Split 1,1,9888,7,1,,,
2018-01-28 18:58:40,paiN Gaming,Split 1,0,9716,1,7,,,
2018-01-28 18:58:40,paiN Gaming,Split 1,0,8544,1,7,,,
2018-01-28 18:58:40,paiN Gaming,Split 1,0,10447,1,7,,,
2018-01-28 18:58:40,paiN Gaming,Split 1,0,11323,1,7,,,
2018-01-28 18:58:40,paiN Gaming,Split 1,0,7878,1,7,,,
2018-01-28 18:58:40,KaBuM! e-Sports,Split 1,1,64996,7,1,10.0,4.0,2.0
2018-01-28 18:58:40,paiN Gaming,Split 1,0,47908,1,7,1.0,0.0,0.0
2018-02-03 15:04:42,CNB e-Sports Club,Split 1,1,13615,8,14,,,
2018-02-03 15:04:42,CNB e-Sports Club,Split 1,1,11766,8,14,,,
2018-02-03 15:04:42,CNB e-Sports Club,Split 1,1,20574,8,14,,,
2018-02-03 15:04:42,CNB e-Sports Club,Split 1,1,16099,8,14,,,
2018-02-03 15:04:42,CNB e-Sports Club,Split 1,1,9025,8,14,,,
2018-02-03 15:04:42,paiN Gaming,Split 1,0,15165,14,8,,,
2018-02-03 15:04:42,paiN Gaming,Split 1,0,13115,14,8,,,
2018-02-03 15:04:42,paiN Gaming,Split 1,0,14937,14,8,,,
2018-02-03 15:04:42,paiN Gaming,Split 1,0,16554,14,8,,,
2018-02-03 15:04:42,paiN Gaming,Split 1,0,10156,14,8,,,
2018-02-03 15:04:42,CNB e-Sports Club,Split 1,1,71079,8,14,9.0,0.0,1.0
