date,playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
2018-01-28 18:01:01,takeshi,paiN Gaming,top,1,1,9,12616,288.0,10.0
2018-01-28 18:01:01,Tay,paiN Gaming,jng,2,0,7,11572,187.0,inf
2018-01-28 18:01:01,tinowns,paiN Gaming,mid,3,0,6,14387,350.0,inf
2018-01-28 18:01:01,Matsukaze,paiN Gaming,bot,4,0,6,16257,335.0,inf
2018-01-28 18:01:01,Loop,paiN Gaming,sup,1,0,8,10245,97.0,inf
2018-01-28 18:01:01,Zantins,KaBuM! e-Sports,top,0,5,1,12734,335.0,0.2
2018-01-28 18:01:01,Ranger,KaBuM! e-Sports,jng,1,1,0,11093,198.0,1.0
2018-01-28 18:01:01,dyNquedo,KaBuM! e-Sports,mid,0,1,0,12025,316.0,0.0
2018-01-28 18:01:01,TitaN,KaBuM! e-Sports,bot,0,3,0,13632,352.0,0.0
2018-01-28 18:01:01,Riyev,KaBuM! e-Sports,sup,0,1,0,9295,104.0,0.0
2018-01-28 18:01:01,,paiN Gaming,team,11,1,36,65077,,47.0
2018-01-28 18:01:01,,KaBuM! e-Sports,team,1,11,1,58779,,0.18
2018-01-28 18:58:40,Zantins,KaBuM! e-Sports,top,0,0,7,16393,354.0,inf
2018-01-28 18:58:40,Ranger,KaBuM! e-Sports,jng,3,1,4,11715,177.0,7.0
2018-01-28 18:58:40,dyNquedo,KaBuM! e-Sports,mid,3,0,2,13523,313.0,inf
2018-01-28 18:58:40,TitaN,KaBuM! e-Sports,bot,0,0,3,13477,328.0,inf
2018-01-28 18:58:40,Riyev,KaBuM! e-Sports,sup,1,0,3,9888,87.0,inf
2018-01-28 18:58:40,takeshi,paiN Gaming,top,0,1,0,9716,266.0,0.0
2018-01-28 18:58:40,Tay,paiN Gaming,jng,1,2,0,8544,137.0,0.5
2018-01-28 18:58:40,tinowns,paiN Gaming,mid,0,2,1,10447,293.0,0.5
2018-01-28 18:58:40,Matsukaze,paiN Gaming,bot,0,1,0,11323,324.0,0.0
2018-01-28 18:58:40,Loop,paiN Gaming,sup,0,1,0,7878,112.0,0.0
2018-01-28 18:58:40,,KaBuM! e-Sports,team,7,1,19,64996,,26.0
2018-01-28 18:58:40,,paiN Gaming,team,1,7,1,47908,,0.29
2018-02-03 15:04:42,Yampi,CNB e-Sports Club,top,0,5,4,13615,305.0,0.8
2018-02-03 15:04:42,Turtle,CNB e-Sports Club,jng,0,2,4,11766,177.0,2.0
2018-02-03 15:04:42,Robo,CNB e-Sports Club,mid,7,2,1,20574,499.0,4.0
2018-02-03 15:04:42,pbO,CNB e-Sports Club,bot,1,2,3,16099,396.0,2.0
2018-02-03 15:04:42,Baiano,CNB e-Sports Club,sup,0,3,5,9025,55.0,1.67
2018-02-03 15:04:42,takeshi,paiN Gaming,top,2,1,4,15165,342.0,6.0
2018-02-03 15:04:42,Tay,paiN Gaming,jng,3,2,6,13115,222.0,4.5
2018-02-03 15:04:42,tinowns,paiN Gaming,mid,6,1,6,14937,308.0,12.0
2018-02-03 15:04:42,Matsukaze,paiN Gaming,bot,3,2,6,16554,385.0,4.5
2018-02-03 15:04:42,Loop,paiN Gaming,sup,0,2,7,10156,103.0,3.5
2018-02-03 15:04:42,,CNB e-Sports Club,team,8,14,17,71079,,1.79
2018-02-03 15:04:42,,paiN Gaming,team,14,8,29,69927,,5.38
2018-02-03 16:13:22,takeshi,paiN Gaming,top,2,2,3,14522,328.0,2.5
2018-02-03 16:13:22,Tay,paiN Gaming,jng,2,2,7,12664,192.0,4.5
2018-02-03 16:13:22,tinowns,paiN Gaming,mid,7,2,5,15596,299.0,6.0
2018-02-03 16:13:22,Matsukaze,paiN Gaming,bot,2,2,8,15982,364.0,5.0
2018-02-03 16:13:22,Loop,paiN Gaming,sup,0,2,9,10475,77.0,4.5
2018-02-03 16:13:22,Yampi,CNB e-Sports Club,top,1,2,8,13660,327.0,4.5
2018-02-03 16:13:22,Turtle,CNB e-Sports Club,jng,0,0,5,10067,165.0,inf
2018-02-03 16:13:22,Robo,CNB e-Sports Club,mid,4,6,4,14361,343.0,1.33
2018-02-03 16:13:22,pbO,CNB e-Sports Club,bot,4,3,4,15311,377.0,2.67
2018-02-03 16:13:22,Baiano,CNB e-Sports Club,sup,1,2,8,8848,64.0,4.5
2018-02-03 16:13:22,,paiN Gaming,team,13,10,32,69239,,4.5
2018-02-03 16:13:22,,CNB e-Sports Club,team,10,13,29,62247,,3.0
2018-02-03 17:23:13,Yampi,CNB e-Sports Club,top,2,1,6,11572,230.0,8.0
2018-02-03 17:23:13,Turtle,CNB e-Sports Club,jng,2,0,5,9618,145.0,inf
2018-02-03 17:23:13,Robo,CNB e-Sports Club,mid,5,2,6,13399,272.0,5.5
2018-02-03 17:23:13,pbO,CNB e-Sports Club,bot,3,1,4,12741,280.0,7.0
2018-02-03 17:23:13,Baiano,CNB e-Sports Club,sup,0,0,6,6689,46.0,inf
2018-02-03 17:23:13,takeshi,paiN Gaming,top,0,2,2,9900,254.0,1.0
2018-02-03 17:23:13,Tay,paiN Gaming,jng,1,4,3,7792,130.0,1.0
2018-02-03 17:23:13,tinowns,paiN Gaming,mid,3,2,0,10598,249.0,1.5
2018-02-03 17:23:13,Matsukaze,paiN Gaming,bot,0,2,2,10825,304.0,1.0
2018-02-03 17:23:13,Loop,paiN Gaming,sup,0,2,2,6135,58.0,1.0
2018-02-03 17:23:13,,CNB e-Sports Club,team,12,4,27,54019,,9.75
2018-02-03 17:23:13,,paiN Gaming,team,4,12,9,45250,,1.08
2018-02-03 18:14:13,Edger,Team oNe eSports,top,0,3,1,14741,387.0,0.33
2018-02-03 18:14:13,4LaN,Team oNe eSports,jng,0,4,2,11022,194.0,0.5
2018-02-03 18:14:13,Brucer,Team oNe eSports,mid,1,3,1,16392,449.0,0.67
2018-02-03 18:14:13,Lactea,Team oNe eSports,bot,3,3,0,15990,369.0,1.0
2018-02-03 18:14:13,RedBert,Team oNe eSports,sup,0,4,2,9621,121.0,0.5
2018-02-03 18:14:13,Yang,Vivo Keyd,top,2,0,6,15489,327.0,inf
2018-02-03 18:14:13,Revolta,Vivo Keyd,jng,5,1,8,14310,207.0,13.0
2018-02-03 18:14:13,tockers,Vivo Keyd,mid,3,1,8,18231,420.0,11.0
2018-02-03 18:14:13,micaO,Vivo Keyd,bot,5,2,7,18359,391.0,6.0
2018-02-03 18:14:13,Jockster,Vivo Keyd,sup,2,0,12,11392,64.0,inf
2018-02-03 18:14:13,,Team oNe eSports,team,4,17,6,67766,,0.59
2018-02-03 18:14:13,,Vivo Keyd,team,17,4,41,77781,,14.5
2018-02-03 19:27:36,Yang,Vivo Keyd,top,6,1,14,14381,219.0,20.0
2018-02-03 19:27:36,Revolta,Vivo Keyd,jng,2,3,17,13172,185.0,6.33
2018-02-03 19:27:36,tockers,Vivo Keyd,mid,5,2,15,16500,339.0,10.0
2018-02-03 19:27:36,micaO,Vivo Keyd,bot,10,1,9,18743,374.0,19.0
2018-02-03 19:27:36,Jockster,Vivo Keyd,sup,3,3,17,11544,62.0,6.67
2018-02-03 19:27:36,Edger,Team oNe eSports,top,2,5,5,11387,250.0,1.4
2018-02-03 19:27:36,4LaN,Team oNe eSports,jng,1,3,5,10740,198.0,2.0
2018-02-03 19:27:36,Brucer,Team oNe eSports,mid,0,6,7,11103,267.0,1.17
2018-02-03 19:27:36,Lactea,Team oNe eSports,bot,5,7,3,15395,362.0,1.14
2018-02-03 19:27:36,RedBert,Team oNe eSports,sup,2,5,5,8910,82.0,1.4
2018-02-03 19:27:36,,Vivo Keyd,team,26,10,72,74340,,9.8
2018-02-03 19:27:36,,Team oNe eSports,team,10,26,25,57535,,1.35
2018-02-04 15:00:26,Zantins,KaBuM! e-Sports,top,1,0,5,13878,305.0,inf
2018-02-04 15:00:26,Ranger,KaBuM! e-Sports,jng,5,0,3,12834,189.0,inf
2018-02-04 15:00:26,dyNquedo,KaBuM! e-Sports,mid,3,2,4,14609,333.0,3.5
2018-02-04 15:00:26,TitaN,KaBuM! e-Sports,bot,1,2,8,14652,303.0,4.5
2018-02-04 15:00:26,Riyev,KaBuM! e-Sports,sup,0,4,7,8461,42.0,1.75
2018-02-04 15:00:26,Lep,RED Canids,top,0,3,2,10488,273.0,0.67
2018-02-04 15:00:26,Winged,RED Canids,jng,1,3,6,10048,165.0,2.33
2018-02-04 15:00:26,Sky,RED Canids,mid,3,2,1,12588,312.0,2.0
2018-02-04 15:00:26,Sacy,RED Canids,bot,3,1,3,13405,332.0,6.0
2018-02-04 15:00:26,Cabu,RED Canids,sup,1,1,6,7678,48.0,7.0
2018-02-04 15:00:26,,KaBuM! e-Sports,team,10,8,27,64434,,4.62
2018-02-04 15:00:26,,RED Canids,team,8,10,18,54207,,2.6
2018-02-04 16:01:21,Lep,RED Canids,top,2,3,1,9290,223.0,1.0
2018-02-04 16:01:21,Nappon,RED Canids,jng,0,3,1,6635,109.0,0.33
2018-02-04 16:01:21,Sky,RED Canids,mid,1,1,1,10360,287.0,2.0
2018-02-04 16:01:21,Sacy,RED Canids,bot,0,1,2,9279,252.0,2.0
2018-02-04 16:01:21,Cabu,RED Canids,sup,0,1,3,5859,54.0,3.0
2018-02-04 16:01:21,Zantins,KaBuM! e-Sports,top,1,1,1,11183,259.0,2.0
2018-02-04 16:01:21,Ranger,KaBuM! e-Sports,jng,3,0,5,10327,132.0,inf
2018-02-04 16:01:21,dyNquedo,KaBuM! e-Sports,mid,0,1,4,10890,244.0,4.0
