playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
Robo,Vivo Keyd,top,4,3,5,14558,268.0,3.0
Grell,Vivo Keyd,jng,5,2,4,13372,235.0,4.5
NOsFerus,Vivo Keyd,mid,5,2,3,14277,265.0,4.0
Klaus,Vivo Keyd,bot,2,1,8,12746,238.0,10.0
Professor,Vivo Keyd,sup,0,1,9,8432,48.0,9.0
,Redemption eSports Porto Alegre,team,9,16,13,51922,,1.38
,Vivo Keyd,team,16,9,29,63385,,5.0
Yang,paiN Gaming,top,0,0,4,14824,334.0,inf
SeongHwan,paiN Gaming,jng,4,0,3,10956,169.0,inf
tinowns,paiN Gaming,mid,1,0,5,12380,275.0,inf
brTT,paiN Gaming,bot,2,1,3,14450,326.0,5.0
Key,paiN Gaming,sup,0,0,7,7841,39.0,inf
Tyrin,FURIA Esports,top,0,1,1,12082,263.0,1.0
Minerva,FURIA Esports,jng,0,3,0,9579,175.0,0.0
Anyyy,FURIA Esports,mid,0,1,0,12172,294.0,0.0
Alternative,FURIA Esports,bot,1,1,0,13869,356.0,1.0
Damage,FURIA Esports,sup,0,1,1,6667,36.0,1.0
,paiN Gaming,team,7,1,22,60451,,29.0
,FURIA Esports,team,1,7,2,54369,,0.43
Robo,Vivo Keyd,top,6,4,15,14761,213.0,5.25
Grell,Vivo Keyd,jng,6,3,10,15200,280.0,5.33
NOsFerus,Vivo Keyd,mid,4,3,9,13833,245.0,4.33
Klaus,Vivo Keyd,bot,8,3,8,15640,262.0,5.33
Professor,Vivo Keyd,sup,1,0,22,9936,32.0,inf
Parang,KaBuM! e-Sports,top,6,4,3,14163,244.0,2.25
Wiz,KaBuM! e-Sports,jng,1,6,10,11434,206.0,1.83
Tutsz,KaBuM! e-Sports,mid,3,6,5,11721,221.0,1.33
Disave,KaBuM! e-Sports,bot,3,4,4,14199,305.0,1.75
Ceos,KaBuM! e-Sports,sup,0,5,4,7207,38.0,0.8
,Vivo Keyd,team,25,13,64,69370,,6.85
,KaBuM! e-Sports,team,13,25,26,58724,,1.56
WooFe,Flamengo Esports,top,4,4,5,13413,258.0,2.25
Ranger,Flamengo Esports,jng,3,3,12,13341,225.0,5.0
Goku,Flamengo Esports,mid,8,3,10,16910,300.0,6.0
Absolut,Flamengo Esports,bot,5,2,10,16228,331.0,7.5
Luci,Flamengo Esports,sup,1,3,16,9119,40.0,5.67
lcberg,INTZ,top,1,5,7,12724,299.0,1.6
Shini,INTZ,jng,2,3,12,10680,153.0,4.67
Envy,INTZ,mid,6,4,6,13725,256.0,3.0
Mills,INTZ,bot,4,1,8,14999,351.0,12.0
Jockster,INTZ,sup,2,8,7,7891,35.0,1.12
,Flamengo Esports,team,21,15,53,69011,,4.93
,INTZ,team,15,21,40,60019,,2.62
fNb,Prodigy Esports,top,3,4,9,15530,301.0,3.0
Yampi,Prodigy Esports,jng,5,4,11,12968,170.0,4.0
Aloned,Prodigy Esports,mid,4,1,11,14941,271.0,15.0
Garo,Prodigy Esports,bot,7,2,6,18790,366.0,6.5
Wos,Prodigy Esports,sup,0,1,15,9435,44.0,15.0
Nyu,Redemption eSports Porto Alegre,top,1,3,4,12680,282.0,1.67
BalKhan,Redemption eSports Porto Alegre,jng,3,5,5,12556,249.0,1.6
Krastyel,Redemption eSports Porto Alegre,mid,3,6,3,12344,249.0,1.0
Save,Redemption eSports Porto Alegre,bot,3,3,2,15249,367.0,1.67
Scuro,Redemption eSports Porto Alegre,sup,1,2,8,8683,13.0,4.5
,Prodigy Esports,team,19,12,52,71664,,5.92
,Redemption eSports Porto Alegre,team,11,19,22,61512,,1.74
